objectid,title,creator,date,description,collection,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript,extra
me_010,Ivory Colliding Balls,James W. Queen & Co.,1895,,Mechanics,,Display Case B3,,,,me_010,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/9efc6cf2ca117b3e25ace7ca97f822b386d0eea7.jpg,,,,,
me_009,Atwood's Machine,,,,Mechanics,,Display Case B3,,,,me_009,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/a82190eb8ee9fab5af86d8c2e6bbd50b6718ad20.jpg,,,,,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/0c69897b260f372d726a450d5dcc0a5d3061831c.jpg
me_044,Jolly Balance,,,,Mechanics,,,,,,me_044,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/4e2ed0f02e613386dd89f189e9bc03c7d68c7a36.jpg,,,,,
me_011,Magdeburg Hemispheres,James W. Queen & Co.,1885,,Mechanics,,Display Case B2,,,,me_011,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/6124fe30f0c0733d22110491831cc932383fe119.jpg,,,,,
me_017,Nicholson's Hydrometer,,,,Mechanics,,Display Case B2,,,,me_017,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/e9df6be2e948b8206326af577e0040a184a6f379.jpg,,,,,
me_016,Vacuum Pump and Bell Jar,James W. Queen & Co.,1885,,Mechanics,,Display Case B2,,,,me_016,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/ee8bc9739d7b90fe31d64d6a751cd6c0a043195a.jpg,,,,,
op_004,Nicol Prisms,,,,Optics,,,,,,op_004,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/592bf4bc84ad381f0182afee676e8e5341af64ab.jpg,,,,,
op_011,Laser,,,,Optics,,,,,,op_011,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/e9fc64858cde3baae25e30843bddf335c905e244.jpg,,,,,
op_010,Lens on Stand,,,,Optics,,,,,,op_010,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/a9ece43b73684dcbb1c0d0a99e9d0b80a480293b.jpg,,,,,
op_007,Prism with Variable Angle,,,,Optics,,Display Case H5,,,,op_007,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/b272561a44ebe358f662f7e774aeae495d7c7edb.jpg,,,,,
ac_006,Four Tuning Forks,L. Landry,1900,,Acoustics,,Display Case H3,,,,ac_006,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/f75e440061c4c7509e59ab3370e2c807e2d94e9f.jpg,,,,,
ac_001,Sonometer,James W. Queen & Co.,1905,,Acoustics,,,,,,ac_001,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/2bf357bd7fa92745801369b4184020211d24731e.jpg,,,,,
ac_015,Helmholtz Resonators,,,,Acoustics,,,,,,ac_015,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/62b6847e4b3ea7b3f38ef20a7be6ef36776b4675.jpg,,,,,
