objectid,parentid,title,creator,date,description,collection,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript,extra
ac_001,,Sonometer,James W. Queen & Co.,1905,"The sonometer is an apparatus by which the transverse vibrations of strings can be studied. It is also called the monocord because it often has only one string. On the box are two fixed bridges, near the ends, and at one end is a pulley. A string, often a steel wire, is fastened at one end, run over the bridges and the pulley, and attached to a weight holder hanging below the pulley. Weights can be added to the holder to produce tension in the wire, and a third, movable bridge, can be placed under it to change the length of the vibrating section of the string.
 
 
 
 This instrument was purchased from Queen & Co. The date is not known with certainty, but it probably was 1905 or earlier.",Acoustics,,,,,,ac_001,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/ac_001.jpg,https://dgobjects.blob.core.windows.net/smalls/ac_001.jpg,https://dgobjects.blob.core.windows.net/thumbs/ac_001.jpg,,,
ac_004,,Turkish Tubaphone,,,,Acoustics,,,,,,ac_004,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/ac_004.jpg,https://dgobjects.blob.core.windows.net/smalls/ac_004.jpg,https://dgobjects.blob.core.windows.net/thumbs/ac_004.jpg,,,
ac_005,,Xylophone,,,,Acoustics,,,,,,ac_005,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/ac_005.jpg,https://dgobjects.blob.core.windows.net/smalls/ac_005.jpg,https://dgobjects.blob.core.windows.net/thumbs/ac_005.jpg,,,
ac_006,,Four Tuning Forks,L. Landry,1900,"These four tuning forks, mounted in resonating boxes, were made by L. Landry in Paris. They were purchased in 1900 and the price of the set was $32.",Acoustics,,Display Case H3,,,,ac_006,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/ac_006.jpg,https://dgobjects.blob.core.windows.net/smalls/ac_006.jpg,https://dgobjects.blob.core.windows.net/thumbs/ac_006.jpg,,,
ac_007,,Metal Whistle,,,,Acoustics,,Display Case H3,,,,ac_007,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/ac_007.jpg,https://dgobjects.blob.core.windows.net/smalls/ac_007.jpg,https://dgobjects.blob.core.windows.net/thumbs/ac_007.jpg,,,
ac_010,,Metronome,,,,Acoustics,,Display Case H3,,,,,,,,,,,https://dgobjects.blob.core.windows.net/objs/og/ac_010.jpg,https://dgobjects.blob.core.windows.net/smalls/ac_010.jpg,https://dgobjects.blob.core.windows.net/thumbs/ac_010.jpg,,,
ac_011,,Siren,,,,Acoustics,,Display Case H3,,,,ac_011,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/ac_011.jpg,https://dgobjects.blob.core.windows.net/smalls/ac_011.jpg,https://dgobjects.blob.core.windows.net/thumbs/ac_011.jpg,,,
ac_012,,Savart Bell and Resonator,James W. Queen & Co.,,"The hemispherical bell is made to vibrate by stroking it with a violin bow. If the resonating cylinder is turned toward the bell and its length adjusted by the slide until its resonate frequency matches that of the bell, the sound is intensified. The cylinder can be moved away from the bell and tilted up and down.
 
 
 
 This piece of equipment cost $20 when it was purchased from Queen & Co. of Philadelphia.",Acoustics,,,,,,ac_012,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/ac_012.jpg,https://dgobjects.blob.core.windows.net/smalls/ac_012.jpg,https://dgobjects.blob.core.windows.net/thumbs/ac_012.jpg,,,
ac_013,,Chime 440,,,,Acoustics,,Display Case H3,,,,ac_013,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/ac_013.jpg,https://dgobjects.blob.core.windows.net/smalls/ac_013.jpg,https://dgobjects.blob.core.windows.net/thumbs/ac_013.jpg,,,
ac_015,,Helmholtz Resonators,,,"Before the advent of electronic spectrum analyzers, Helmholtz Resonators were used to detect different frequencies in a sound wave. This set of nineteen resonators was purchased for $70.",Acoustics,,,,,,ac_015,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/ac_015.jpg,https://dgobjects.blob.core.windows.net/smalls/ac_015.jpg,https://dgobjects.blob.core.windows.net/thumbs/ac_015.jpg,,,
