objectid,parentid,Notes,title,creator,date,description,collection,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,,,,image_alt_text,object_transcript,extra
ac_001,,,Sonometer,James W. Queen & Co.,1905,"The sonometer is an apparatus by which the transverse vibrations of strings can be studied. It is also called the monocord because it often has only one string. On the box are two fixed bridges, near the ends, and at one end is a pulley. A string, often a steel wire, is fastened at one end, run over the bridges and the pulley, and attached to a weight holder hanging below the pulley. Weights can be added to the holder to produce tension in the wire, and a third, movable bridge, can be placed under it to change the length of the vibrating section of the string.
 
 
 
 This instrument was purchased from Queen & Co. The date is not known with certainty, but it probably was 1905 or earlier.",Acoustics,,,,,,ac_001,image,image/jpg,,,,image,https://gcsmbstorage.blob.core.windows.net/objs/physics/ac_001.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/ac_001_SMALL.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/ac_001_THUMB.jpg,,,
ac_004,,,Turkish Tubaphone,,,,Acoustics,,,,,,ac_004,image,image/jpg,,,,image,https://gcsmbstorage.blob.core.windows.net/objs/physics/ac_004.TIF,https://gcsmbstorage.blob.core.windows.net/smalls/physics/ac_004_SMALL.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/ac_004_THUMB.jpg,,,
ac_005,,,Xylophone,,,,Acoustics,,,,,,ac_005,image,image/jpg,,,,image,https://gcsmbstorage.blob.core.windows.net/objs/physics/ac_005.TIF,https://gcsmbstorage.blob.core.windows.net/smalls/physics/ac_005_SMALL.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/ac_005_THUMB.jpg,,,
ac_006,,,Four Tuning Forks,L. Landry,1900,"These four tuning forks, mounted in resonating boxes, were made by L. Landry in Paris. They were purchased in 1900 and the price of the set was $32.",Acoustics,,Display Case H3,,,,ac_006,image,image/jpg,,,,image,https://gcsmbstorage.blob.core.windows.net/objs/physics/ac_006.JPG,https://gcsmbstorage.blob.core.windows.net/smalls/physics/ac_006_SMALL.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/ac_006_THUMB.jpg,,,
ac_007,,,Metal Whistle,,,,Acoustics,,Display Case H3,,,,ac_007,image,image/jpg,,,,image,https://gcsmbstorage.blob.core.windows.net/objs/physics/ac_007.JPG,https://gcsmbstorage.blob.core.windows.net/smalls/physics/ac_007_SMALL.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/ac_007_THUMB.jpg,,,
ac_010,,,Metronome,,,,Acoustics,,Display Case H3,,,,,,,,,,,https://gcsmbstorage.blob.core.windows.net/objs/physics/ac_010.JPG,https://gcsmbstorage.blob.core.windows.net/smalls/physics/ac_010_SMALL.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/ac_010_THUMB.jpg,,,
ac_011,,,Siren,,,,Acoustics,,Display Case H3,,,,ac_011,image,image/jpg,,,,image,https://gcsmbstorage.blob.core.windows.net/objs/physics/ac_011.JPG,https://gcsmbstorage.blob.core.windows.net/smalls/physics/ac_011_SMALL.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/ac_011_THUMB.jpg,,,
ac_012,,,Savart Bell and Resonator,James W. Queen & Co.,,"The hemispherical bell is made to vibrate by stroking it with a violin bow. If the resonating cylinder is turned toward the bell and its length adjusted by the slide until its resonate frequency matches that of the bell, the sound is intensified. The cylinder can be moved away from the bell and tilted up and down.
 
 
 
 This piece of equipment cost $20 when it was purchased from Queen & Co. of Philadelphia.",Acoustics,,,,,,ac_012,image,image/jpg,,,,image,https://gcsmbstorage.blob.core.windows.net/objs/physics/ac_012.JPG,https://gcsmbstorage.blob.core.windows.net/smalls/physics/ac_012_SMALL.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/ac_012_THUMB.jpg,,,
ac_013,,,Chime 440,,,,Acoustics,,Display Case H3,,,,ac_013,image,image/jpg,,,,image,https://gcsmbstorage.blob.core.windows.net/objs/physics/ac_013.JPG,https://gcsmbstorage.blob.core.windows.net/smalls/physics/ac_013_SMALL.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/ac_013_THUMB.jpg,,,
ac_015,,,Helmholtz Resonators,,,"Before the advent of electronic spectrum analyzers, Helmholtz Resonators were used to detect different frequencies in a sound wave. This set of nineteen resonators was purchased for $70.",Acoustics,,,,,,ac_015,image,image/jpg,,,,image,https://gcsmbstorage.blob.core.windows.net/objs/physics/ac_015.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/ac_015_SMALL.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/ac_015_THUMB.jpg,,,
ac_033_p,,Add extra Xylophone items,Xylophone Sounding Hammers,,,ac033 through ac_036,Acoustics,,Storage Location H2b,,,,,image,image/jpg,,,,multiple,,,,,,
ac_033,ac_033_p,,Xylophone Sounding Hammers,,,ac033 through ac_036,Acoustics,,Storage Location H2b,,,,ac_033,image,image/jpg,,,,image,https://gcsmbstorage.blob.core.windows.net/objs/physics/ac_033.JPG,https://gcsmbstorage.blob.core.windows.net/smalls/physics/ac_033_SMALL.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/ac_033_THUMB.jpg,,,
ac_035,ac_033_p,,Percussion Hammers,,,,Acoustics,,Storage Location H2b,,,,,image,image/jpg,,,,image,https://gcsmbstorage.blob.core.windows.net/objs/physics/ac_035.JPG,https://gcsmbstorage.blob.core.windows.net/smalls/physics/ac_035_SMALL.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/ac_035_THUMB.jpg,,,
ac_039,,,Metal Organ Pipe,,,,Acoustics,,,,,,ac_039,image,image/jpg,,,,image,https://gcsmbstorage.blob.core.windows.net/objs/physics/ac_039.JPG,https://gcsmbstorage.blob.core.windows.net/smalls/physics/ac_039_SMALL.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/ac_039_THUMB.jpg,,,
ac_042,,,Wood Organ Pipes,,,,Acoustics,,Display Case H3,,,,ac_042,image,image/jpg,,,,image,https://gcsmbstorage.blob.core.windows.net/objs/physics/ac_042.JPG,https://gcsmbstorage.blob.core.windows.net/smalls/physics/ac_042_SMALL.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/ac_042_THUMB.jpg,,,
ac_047,,,Zither,,,,Acoustics,,Display Case H3,,,,ac_047,image,image/jpg,,,,image,https://gcsmbstorage.blob.core.windows.net/objs/physics/ac_047.JPG,https://gcsmbstorage.blob.core.windows.net/smalls/physics/ac_047_SMALL.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/ac_047_THUMB.jpg,,,
ac_051,,,Manometric Flame,,,,Acoustics,,Storage Location H1b,,,,ac_051,image,image/jpg,,,,image,https://gcsmbstorage.blob.core.windows.net/objs/physics/ac_051.JPG,https://gcsmbstorage.blob.core.windows.net/smalls/physics/ac_051_SMALL.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/ac_051_THUMB.jpg,,,
ac_052,,,Tuning fork with Wooden Resonator Base,,,,Acoustics,,Storage Location H2b,,,,ac_052,image,image/jpg,,,,image,https://gcsmbstorage.blob.core.windows.net/objs/physics/ac_052.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/ac_052_SMALL.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/ac_052_THUMB.jpg,,,
ac_055,,,Two Brass Reflecting Dishes,,,,Acoustics,,Dead Storage Room,,,,ac_055,image,image/jpg,,,,image,https://gcsmbstorage.blob.core.windows.net/objs/physics/ac_055.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/ac_055_SMALL.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/ac_055_THUMB.jpg,,,
ac_056,,,Clamped Square and Round Brass Vibrating Plates,,1895,"This apparatus came with the holder and two brass plates, one round and the other square. The plates could be made to vibrate, perhaps by stroking with a violin bow or tapping with a mallet, and the resulting sound examined. They could also be mounted with the plate horizontal. Then if a light powder, such as lycopodium powder, was placed on the plate, the nodes of standing waves in the plate when it was bowed or tapped could be seen in patterns of the powder.",Acoustics,,Display Case H3,,,,ac_056,image,image/jpg,,,,image,https://gcsmbstorage.blob.core.windows.net/objs/physics/ac_056.JPG,https://gcsmbstorage.blob.core.windows.net/smalls/physics/ac_056_SMALL.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/ac_056_THUMB.jpg,,,
at_002,,,Anode Ray Tube,,,,Modern_Physics,,Display Case B1,,,,at_002,image,image/jpg,,,,image,https://gcsmbstorage.blob.core.windows.net/objs/physics/at_002.JPG,https://gcsmbstorage.blob.core.windows.net/smalls/physics/at_002_SMALL.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/at_002_THUMB.jpg,,,
at_003,,,Anode Ray Tube,,,,Modern_Physics,,Display Case B1,,,,at_003,image,image/jpg,,,,image,https://gcsmbstorage.blob.core.windows.net/objs/physics/at_003.JPG,https://gcsmbstorage.blob.core.windows.net/smalls/physics/at_003_SMALL.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/at_003_THUMB.jpg,,,
at_004,,,Electric Egg,James W. Queen & Co.,,"The electric egg is a glass vessel with an electrode at the top and another electrode at the bottom. At the bottom also is a tube with stopcock through which the air in the vessel can be pumped. It is used to demonstrate the production of light by a static electric charge. If the egg is evacuated and then a large static charge is place on the upper electrode, perhaps by connecting it to a static machine, a glow fills the egg. This was once suggested as a way to produce safe illumination in mines, but it was found that the glow does not persist long enough to be useful.
 
 
 
 This instrument was sold by Queen & Co. but probably was manufactured in Europe. The date is unknown.",Modern_Physics,,Display Case B1,,,,at_004,image,image/jpg,,,,image,https://gcsmbstorage.blob.core.windows.net/objs/physics/at_004.JPG,https://gcsmbstorage.blob.core.windows.net/smalls/physics/at_004_SMALL.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/at_004_THUMB.jpg,,,
at_005,,,Six Fancy Discharge Tubes,,,,Modern_Physics,,Display Case B1,,,,at_005,image,image/jpg,,,,image,https://gcsmbstorage.blob.core.windows.net/objs/physics/at_005.JPG,https://gcsmbstorage.blob.core.windows.net/smalls/physics/at_005_SMALL.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/at_005_THUMB.jpg,,,
at_006,,,Discharge Tube and Wooden Base,,,Similar to a Crooke's discharge tube.,Modern_Physics,Discharge Tube,Display Case B1,,,,at_006,image,image/jpg,,,,image,https://gcsmbstorage.blob.core.windows.net/objs/physics/at_006.JPG,https://gcsmbstorage.blob.core.windows.net/smalls/physics/at_006_SMALL.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/at_006_THUMB.jpg,,,
at_007,,,Crooke’s Tube and Base,,,,Modern_Physics,,,,,,at_007,image,image/jpg,,,,image,https://gcsmbstorage.blob.core.windows.net/objs/physics/at_007.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/at_007_SMALL.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/at_007_THUMB.jpg,,,
at_008,,,Discharge Tube with Collimator,,,,Modern_Physics,,Display Case B1,,,,at_008,image,image/jpg,,,,image,https://gcsmbstorage.blob.core.windows.net/objs/physics/at_008.JPG,https://gcsmbstorage.blob.core.windows.net/smalls/physics/at_008_SMALL.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/at_008_THUMB.jpg,,,
at_009,,,Rotator For Discharge Tube AT001,,,,Modern_Physics,,Display Case B1,,,,at_009,image,image/jpg,,,,image,https://gcsmbstorage.blob.core.windows.net/objs/physics/at_009.JPG,https://gcsmbstorage.blob.core.windows.net/smalls/physics/at_009_SMALL.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/at_009_THUMB.jpg,,,
at_010,,,Rotator for Discharge Tube AT001,,,,Modern_Physics,,Display Case B3,,,,at_010,image,image/jpg,,,,image,https://gcsmbstorage.blob.core.windows.net/objs/physics/at_010.JPG,https://gcsmbstorage.blob.core.windows.net/smalls/physics/at_010_SMALL.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/at_010_THUMB.jpg,,,
